date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:42	78662/78662	---M--	200	added ('OK')	text/css	etag:%22676a93f321abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/style.css?ver=2.8.6	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/styled2b8.css	(from http://blackhalo.info/)
00:01:45	95952/95952	---M--	200	added ('OK')	application/x-javascript	etag:%2206c823bac52d01:0%22	http://blackhalo.info/wp-includes/js/jquery/jquery.js?ver=1.11.2	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-includes/js/jquery/jquery4a80.js	(from http://blackhalo.info/)
00:01:45	7200/7200	---M--	200	added ('OK')	application/x-javascript	etag:%22021c3f2f387ce1:0%22	http://blackhalo.info/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://blackhalo.info/)
00:01:46	100482/100482	---M--	200	added ('OK')	application/x-javascript	etag:%2242b5fd20abd01:0%22	http://blackhalo.info/wp-content/plugins/revslider/rs-plugin/js/jquery.themepunch.tools.min.js?ver=4.6.93	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/revslider/rs-plugin/js/jquery.themepunch.tools.min9cbc.js	(from http://blackhalo.info/)
00:01:50	110031/110031	---M--	200	added ('OK')	application/x-javascript	etag:%22dba92fd20abd01:0%22	http://blackhalo.info/wp-content/plugins/revslider/rs-plugin/js/jquery.themepunch.revolution.min.js?ver=4.6.93	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/revslider/rs-plugin/js/jquery.themepunch.revolution.min9cbc.js	(from http://blackhalo.info/)
00:01:51	16045/16045	---M--	200	added ('OK')	application/x-javascript	etag:%22338bb0821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/js/jquery.isotope.min.js?ver=1.8	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/js/jquery.isotope.min4b1d.js	(from http://blackhalo.info/)
00:01:52	3382/3382	---M--	200	added ('OK')	application/x-javascript	etag:%2214eb5821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/js/jquery.lazy.load.js?ver=1.9.1	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/js/jquery.lazy.load3109.js	(from http://blackhalo.info/)
00:01:52	15516/15516	---M--	200	added ('OK')	application/x-javascript	etag:%229fd861b21abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-shortcodes/js/plugins/modernizr/modernizr.min.js?ver=2.6.2	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-shortcodes/js/plugins/modernizr/modernizr.min61da.js	(from http://blackhalo.info/)
00:01:53	21142/21142	---M--	200	added ('OK')	application/x-javascript	etag:%22387741b21abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-shortcodes/js/plugins/flexslider/jquery.flexslider-min.js?ver=4.2.14	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-shortcodes/js/plugins/flexslider/jquery.flexslider-min669d.js	(from http://blackhalo.info/)
00:01:53	9775/9775	---M--	200	added ('OK')	application/x-javascript	etag:%22353fd1a21abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-shortcodes/js/plugins/elastislider/jquery.elastislide.js?ver=4.2.14	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-shortcodes/js/plugins/elastislider/jquery.elastislide669d.js	(from http://blackhalo.info/)
00:01:54	12620/12620	---M--	200	added ('OK')	application/x-javascript	etag:%222d606f921abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/jquery.queryloader2.min.js?ver=2.6	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/jquery.queryloader2.minfc99.js	(from http://blackhalo.info/)
00:01:55	723/723	---M--	200	added ('OK')	text/xml	date:Sun,%2023%20Apr%202017%2007:02:16%20GMT	http://blackhalo.info/xmlrpc.php?rsd	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/xmlrpc0db0.php	(from http://blackhalo.info/)
00:01:55	1045/1045	---M--	200	added ('OK')	text/xml	etag:%2204c0bce4f6ce1:0%22	http://blackhalo.info/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-includes/wlwmanifest.xml	(from http://blackhalo.info/)
